rank,ins,name,classes,efsa_adi,india_products,pct,tag
"1","330","Citric acid","antioxidant, sequestrant","","247","10.78","en:e330"
"2","322","Lecithins","antioxidant, emulsifier","","156","6.81","en:e322"
"3","500","Sodium carbonates","stabiliser, thickener","","147","6.42","en:e500"
"4","471","Mono- and diglycerides of fatty acids","emulsifier, stabiliser","","109","4.76","en:e471"
"5","500II","Sodium hydrogen carbonate","stabiliser, thickener","","99","4.32","en:e500ii"
"6","322I","Lecithin","antioxidant, emulsifier","","85","3.71","en:e322i"
"7","412","Guar gum","emulsifier, stabiliser, thickener","","81","3.54","en:e412"
"8","415","Xanthan gum","emulsifier, stabiliser, thickener","","80","3.49","en:e415"
"9","551","Silicon dioxide","carrier","","77","3.36","en:e551"
"10","627","Disodium guanylate","","","64","2.79","en:e627"
"11","503","Ammonium carbonates","","","64","2.79","en:e503"
"12","211","Sodium benzoate","preservative","5","63","2.75","en:e211"
"13","631","Disodium inosinate","","","62","2.71","en:e631"
"14","300","Ascorbic acid","antioxidant, sequestrant","","59","2.58","en:e300"
"15","260","Acetic acid","preservative","","56","2.44","en:e260"
"16","319","Tertiary-butylhydroquinone (tbhq)","antioxidant","","56","2.44","en:e319"
"17","202","Potassium sorbate","preservative","3","49","2.14","en:e202"
"18","296","Malic acid","","","49","2.14","en:e296"
"19","503II","Ammonium hydrogen carbonate","","","49","2.14","en:e503ii"
"20","150D","Sulphite ammonia caramel","colour","300","47","2.05","en:e150d"
"21","102","Tartrazine","colour","","47","2.05","en:e102"
"22","407","Carrageenan","carrier, emulsifier, humectant, stabiliser, thickener","75","46","2.01","en:e407"
"23","170","Calcium carbonates","","","45","1.96","en:e170"
"24","422","Glycerol","humectant, thickener","","45","1.96","en:e422"
"25","450","Diphosphates","emulsifier, humectant, sequestrant, stabiliser, thickener","","39","1.7","en:e450"
"26","440A","Pectin","emulsifier, stabiliser, thickener","","38","1.66","en:e440a"
"27","508","Potassium chloride","stabiliser, thickener, preservative","","35","1.53","en:e508"
"28","110","Sunset yellow FCF","colour","","34","1.48","en:e110"
"29","160C","Paprika extract","colour","","34","1.48","en:e160c"
"30","170I","Calcium carbonate","colour, stabiliser","","33","1.44","en:e170i"
"31","414","Acacia gum","carrier, emulsifier, stabiliser, thickener","","31","1.35","en:e414"
"32","501","Potassium carbonates","stabiliser","","30","1.31","en:e501"
"33","466","Sodium carboxy methyl cellulose","emulsifier, humectant, stabiliser, thickener","","30","1.31","en:e466"
"34","282","calcium propionate","preservative","","30","1.31","en:e282"
